LATITUDE,LONGITUDE,DATE,EVAP,PRCP,TMAX,TMIN
28.71583,-97.17444,20040110,30,0,189,44
28.71583,-97.17444,20040111,25,0,183,22
28.71583,-97.17444,20040112,23,0,189,11
28.71583,-97.17444,20040113,18,0,233,100
28.71583,-97.17444,20040114,13,5,228,139
28.71583,-97.17444,20040115,5,25,189,144
28.71583,-97.17444,20040116,5,8,194,167
28.71583,-97.17444,20040117,8,241,239,161
28.71583,-97.17444,20040118,28,3,244,94
28.71583,-97.17444,20040119,30,0,189,-178
28.71583,-97.17444,20040120,28,0,139,11
28.71583,-97.17444,20040121,18,0,167,22
28.71583,-97.17444,20040122,15,0,172,94
28.71583,-97.17444,20040123,5,18,144,106
28.71583,-97.17444,20040124,8,8,183,111
28.71583,-97.17444,20040125,5,206,206,122
28.71583,-97.17444,20040126,38,3,244,94
28.71583,-97.17444,20040127,51,0,239,-6
28.71583,-97.17444,20040128,28,0,133,6
28.71583,-97.17444,20040129,20,0,150,22
28.71583,-97.17444,20040130,5,25,206,128
28.71583,-97.17444,20040131,8,0,144,61
28.71583,-97.17444,20040201,18,0,189,83
28.71583,-97.17444,20040202,15,0,217,89
28.71583,-97.17444,20040203,38,0,183,22
28.71583,-97.17444,20040204,23,0,150,33
28.71583,-97.17444,20040205,8,38,228,100
28.71583,-97.17444,20040206,28,3,194,83
28.71583,-97.17444,20040207,33,0,156,17
28.71583,-97.17444,20040208,30,0,172,17
28.71583,-97.17444,20040209,10,0,172,17
28.71583,-97.17444,20040210,8,33,217,128
28.71583,-97.17444,20040211,3,43,128,94
28.71583,-97.17444,20040212,3,10,111,72
28.71583,-97.17444,20040213,3,5,111,33
28.71583,-97.17444,20040214,5,13,50,17
28.71583,-97.17444,20040215,30,3,133,0
28.71583,-97.17444,20040216,30,0,156,0
28.71583,-97.17444,20040217,30,0,206,50
28.71583,-97.17444,20040218,38,0,233,50
28.71583,-97.17444,20040219,33,0,233,72
28.71583,-97.17444,20040220,36,0,228,122
28.71583,-97.17444,20040221,33,0,256,106
28.71583,-97.17444,20040222,41,0,228,122
28.71583,-97.17444,20040223,18,3,239,128
28.71583,-97.17444,20040224,20,10,256,156
28.71583,-97.17444,20040225,10,137,183,94
28.71583,-97.17444,20040226,13,0,100,22
28.71583,-97.17444,20040227,33,0,161,17
28.71583,-97.17444,20040228,33,0,194,50
28.71583,-97.17444,20040229,-9999,0,-9999,-9999
28.71583,-97.17444,20040301,20,41,256,178
28.71583,-97.17444,20040302,8,8,189,133
28.71583,-97.17444,20040303,18,5,250,172
28.71583,-97.17444,20040304,18,20,256,206
28.71583,-97.17444,20040305,5,28,244,194
28.71583,-97.17444,20040306,36,0,278,117
28.71583,-97.17444,20040307,41,0,267,111
28.71583,-97.17444,20040308,36,0,289,128
28.71583,-97.17444,20040309,51,0,233,100
28.71583,-97.17444,20040310,51,0,272,83
28.71583,-97.17444,20040311,46,0,244,111
28.71583,-97.17444,20040312,36,0,244,122
28.71583,-97.17444,20040313,18,0,217,144
